,0
target,1.0
weekDay,-0.102104191511194
weekOfYear,0.14830062639680908
hourOfDay,0.2716649625441066
dayOfMonth,0.12433227117817851
KARAPINAR_Windy,0.04063386488126961
KIVANC_Windy,0.04965613626224104
TEKSIN_Windy,0.123995419330669
CINGILLI_Windy,0.0613584462316626
BUYUKALAN_Windy,0.06969998413550749
Balikesir_Windy,-0.0012934877956397692
Gokcedag_Windy,0.1985174600298121
Dinar_Windy,0.05355853678828702
Ucpinar_Windy,0.012736248835350369
Geycek_Windy,-0.01453393752687556
ten_prev,0.01965660668657995
elevenPrev,-0.0053588945041392385
twelvePrev,-0.009737879816622497
